lemma;frequency;rank;relative_freq;cumulative_freq
блок;288;1;0.9998611303985558;288
node;285;2;0.9894459102902375;573
блокчейн;258;3;0.8957089293153728;831
консенсус;224;4;0.7776697680877657;1055
алгоритм;216;5;0.7498958477989168;1271
сеть;199;6;0.6908762671851132;1470
consensus;197;7;0.6839327871129011;1667
механизм;173;8;0.6006110262463547;1840
blockchain;166;9;0.576308845993612;2006
который;165;10;0.5728371059575059;2171
proof;158;11;0.5485349257047631;2329
транзакция;139;12;0.4825718650187474;2468
algorithm;133;13;0.46174142480211083;2601
валидатор;133;14;0.46174142480211083;2734
система;132;15;0.4582696847660047;2866
form;121;16;0.4200805443688377;2987
технология;103;17;0.35758922371892793;3090
текст;103;18;0.35758922371892793;3193
процесс;96;19;0.33328704346618526;3289
узел;94;20;0.326343563393973;3383
данные;93;21;0.32287182335786696;3476
pbft;92;22;0.3194000833217609;3568
анализ;85;23;0.2950979030690182;3653
являться;84;24;0.29162616303291206;3737
количество;82;25;0.28468268296069993;3819
новый;80;26;0.27773920288848775;3899
based;79;27;0.27426746285238157;3978
участник;75;28;0.26038050270795726;4053
grammatical;75;29;0.26038050270795726;4128
frequency;74;30;0.2569087626718511;4202
system;72;31;0.24996528259963896;4274
слово;71;32;0.24649354256353284;4345
data;69;33;0.23955006249132063;4414
майнер;69;34;0.23955006249132063;4483
technology;68;35;0.23607832245521454;4551
number;68;36;0.23607832245521454;4619
http;67;37;0.23260658241910848;4686
время;66;38;0.22913484238300236;4752
распределённый;64;39;0.22219136231079015;4816
po;64;40;0.22219136231079015;4880
russian;64;41;0.22219136231079015;4944
получить;63;42;0.21871962227468406;5007
голос;63;43;0.21871962227468406;5070
это;62;44;0.215247882238578;5132
каждый;61;45;0.21177614220247187;5193
vol;60;46;0.20830440216636578;5253
doi;60;47;0.20830440216636578;5313
создание;60;48;0.20830440216636578;5373
management;60;49;0.20830440216636578;5433
dictionary;60;50;0.20830440216636578;5493
работа;58;51;0.2013609220941536;5551
group;58;52;0.2013609220941536;5609
mechanism;56;53;0.19441744202194142;5665
network;56;54;0.19441744202194142;5721
обработка;56;55;0.19441744202194142;5777
information;56;56;0.19441744202194142;5833
pow;55;57;0.1909457019858353;5888
credit;53;58;0.18400222191362312;5941
использовать;51;59;0.17705874184141093;5992
следующий;51;60;0.17705874184141093;6043
шаг;51;61;0.17705874184141093;6094
безопасность;50;62;0.1735870018053048;6144
решение;50;63;0.1735870018053048;6194
высокий;50;64;0.1735870018053048;6244
задача;49;65;0.17011526176919872;6293
основа;49;66;0.17011526176919872;6342
corpus;49;67;0.17011526176919872;6391
work;48;68;0.16664352173309263;6439
byzantine;47;69;0.1631717816969865;6486
cbft;47;70;0.1631717816969865;6533
security;46;71;0.15970004166088045;6579
позволять;46;72;0.15970004166088045;6625
частотный;46;73;0.15970004166088045;6671
international;45;74;0.15622830162477433;6716
communication;45;75;0.15622830162477433;6761
вероятность;45;76;0.15622830162477433;6806
раунд;45;77;0.15622830162477433;6851
paradigm;45;78;0.15622830162477433;6896
𝑙𝑜𝑐𝑘𝑒𝑑𝑟𝑜𝑢𝑛𝑑;43;79;0.14928482155256215;6939
transaction;42;80;0.14581308151645603;6981
криптовалюта;42;81;0.14581308151645603;7023
рис;41;82;0.14234134148034996;7064
свой;40;83;0.13886960144424387;7104
реестр;39;84;0.13539786140813775;7143
case;39;85;0.13539786140813775;7182
stake;39;86;0.13539786140813775;7221
com;39;87;0.13539786140813775;7260
цифровой;38;88;0.13192612137203166;7298
атака;38;89;0.13192612137203166;7336
иметь;38;90;0.13192612137203166;7374
умный;37;91;0.12845438133592554;7411
word;37;92;0.12845438133592554;7448
вычислительный;37;93;0.12845438133592554;7485
метод;37;94;0.12845438133592554;7522
org;36;95;0.12498264129981948;7558
число;36;96;0.12498264129981948;7594
цепочка;36;97;0.12498264129981948;7630
noun;36;98;0.12498264129981948;7666
message;36;99;0.12498264129981948;7702
применение;35;100;0.12151090126371338;7737
использование;35;101;0.12151090126371338;7772
случай;35;102;0.12151090126371338;7807
результат;35;103;0.12151090126371338;7842
различный;35;104;0.12151090126371338;7877
общий;35;105;0.12151090126371338;7912
некоторый;35;106;0.12151090126371338;7947
токен;35;107;0.12151090126371338;7982
распределение;35;108;0.12151090126371338;8017
profile;35;109;0.12151090126371338;8052
обеспечение;34;110;0.11803916122760727;8086
также;34;111;0.11803916122760727;8120
ресурс;34;112;0.11803916122760727;8154
wang;34;113;0.11803916122760727;8188
условие;34;114;0.11803916122760727;8222
информационный;33;115;0.11456742119150118;8255
set;32;116;0.11109568115539507;8287
university;32;117;0.11109568115539507;8319
больший;32;118;0.11109568115539507;8351
journal;32;119;0.11109568115539507;8383
time;32;120;0.11109568115539507;8415
fault;32;121;0.11109568115539507;8447
prevote;32;122;0.11109568115539507;8479
буква;32;123;0.11109568115539507;8511
