name;category;frequency
node;Топонимы;20
PBFT;Топонимы;18
Россия;Топонимы;10
Moscow;Топонимы;10
Республика Коми;Топонимы;8
Russia;Топонимы;6
случае;Топонимы;6
сети;Топонимы;6
России;Топонимы;5
узлов;Топонимы;4
China;Топонимы;4
Москва;Топонимы;4
Сыктывкар;Топонимы;4
Таким;Топонимы;3
Šteinfeldt;Топонимы;3
London;Топонимы;3
S.L.;Топонимы;3
Уфа;Топонимы;3
Минск;Топонимы;3
Туркменистан;Топонимы;3
Singapore;Топонимы;2
среды;Топонимы;2
доверия;Топонимы;2
виде;Топонимы;2
вычислений;Топонимы;2
фонда;Топонимы;2
El Bakkali H.;Топонимы;2
Morocco;Топонимы;2
Belgorod;Топонимы;2
N.Y.;Топонимы;2
Helsinki;Топонимы;2
Lamport;Топонимы;2
Zhang;Топонимы;2
Zhong;Топонимы;2
R.Z.;Топонимы;2
C.L.;Топонимы;2
Санкт-Петербург;Топонимы;2
И.Н. Анализ;Персоналии;12
Булгаков В.Д.;Персоналии;11
Лавреш И. И.;Персоналии;10
Крашенинников М. С.;Персоналии;9
Устюгов В. А.;Персоналии;7
В.Г. Короленко;Персоналии;6
V.G. Shukhov;Персоналии;3
В.Г. Шухова;Персоналии;3
Olga Lyashevskaya;Персоналии;3
Majdoubi D. E.;Персоналии;2
Да Да Да Да Да Высокая;Персоналии;2
Носиров З.А.;Персоналии;2
Parallel Distrib;Персоналии;2
Устюгов В. А. Рис;Персоналии;2
Питер;Персоналии;2
И.Ю. Герасимов;Персоналии;2
И.В. Чижов;Персоналии;2
Кашеварова Н.А.;Персоналии;2
Фомичева В.М.;Персоналии;2
Калинин Максим;Персоналии;1
Крундышев Василий Михайлович 2;Персоналии;1
Платонов Владимир Владимирович 3;Персоналии;1
Петра Великого;Персоналии;1
Sybil Attack;Персоналии;1
Заключение Технология;Персоналии;1
Благодарности Исследование;Персоналии;1
Tasgetiren M. F. Future;Персоналии;1
Cloud Computing;Персоналии;1
El Ioini N.;Персоналии;1
Annlin Jeba S. V.;Персоналии;1
Khan W. Z.;Персоналии;1
Gilkar G. A.;Персоналии;1
Moro P. E.;Персоналии;1
Duke A. K. Distributed;Персоналии;1
Singh A. V. Role;Персоналии;1
Mandal S. B. IoT;Персоналии;1
Ali M. S.;Персоналии;1
Mobile Commun;Персоналии;1
Sohel M. K.;Персоналии;1
Sarwar A. H. Block-;Персоналии;1
Giakos G. C. Comprehensive;Персоналии;1
Honar Pajooh H.;Персоналии;1
Nair P. R.;Персоналии;1
Singh P. K.;Персоналии;1
De Angelis S.;Персоналии;1
Звозникова Г.О.;Персоналии;1
Да Нет;Персоналии;1
Нет Да Да Да Да Вычислительные;Персоналии;1
Нет Нет Да Да Да Преимущество;Персоналии;1
Григорчук К;Персоналии;1
Bulgakov V.D. Gvozdevsky I.N.;Персоналии;1
Bulgakov V.D.;Персоналии;1
Банк России;Персоналии;1
Механизм Proof-of-;Персоналии;1
Алгоритм PoW;Персоналии;1
Механизм Proof-of-Stake;Персоналии;1
майнеров в механизме PoW.;Персоналии;1
Механизм Proof-of-Authority;Персоналии;1
Алгоритм Proof-of-;Персоналии;1
Относительно PoW;Персоналии;1
Низкое Средний Высокая;Персоналии;1
Низкое Средний Средняя Дисковое;Персоналии;1
Маслова М.А. Использование;Персоналии;1
Иванников В.С.;Персоналии;1
А.В. Исследование;Персоналии;1
Семёнова Ю.Е. Энергоэффективные;Персоналии;1
Абдулжалилов А.З.;Персоналии;1
Титова Т.С. Экологические;Персоналии;1
Алексей Борисович;Персоналии;1
Ивкин А.В.;Персоналии;1
Волкова А.А. Концепция;Персоналии;1
Фомичев В.М. Анализ;Персоналии;1
Nesterienko V.R.;Персоналии;1
Consensus Algorithm;Персоналии;1
Semyonova Yu;Персоналии;1
Korovyakovsky E.K.;Персоналии;1
Astrakhantsev R.G.;Персоналии;1
Ivkin A.V.;Персоналии;1
Miroshnichenko E.L.;Персоналии;1
Nosirov Z.A.;Персоналии;1
Fomichev V.M. Analysis;Персоналии;1
Булгаков Владислав;Персоналии;1
Vladislav Dmitrievich;Персоналии;1
Gvozdevsky Igor Nikolaevich;Персоналии;1
Nom Gen Dat Acc Ins Loc 1;Персоналии;1
Nom Gen Dat Acc Ins Loc Total;Персоналии;1
Alexander Krasovitsky;Персоналии;1
Peter Williams;Персоналии;1
Wiener Slawistischer Almanach;Персоналии;1
Dee Gardner;Персоналии;1
Stefan Th;Персоналии;1
Arto Mustajoki;Персоналии;1
Anna Endresen;Персоналии;1
Julia Kuznetsova;Персоналии;1
Anastasia Makarova;Персоналии;1
Svetlana Sokolova;Персоналии;1
Cognitive Linguistics;Персоналии;1
Literary Russian;Персоналии;1
Birjulin L.A.;Персоналии;1
Paul Rayson;Персоналии;1
Andrew Wilson;Персоналии;1
John Newman;Персоналии;1
Sharoff Serge;Персоналии;1
Elena Umanskaya;Персоналии;1
James Wilson;Персоналии;1
Russian Word Count;Персоналии;1
Shannan Liu 1;Персоналии;1
Satoshi Nakamoto;Персоналии;1
Lao Laphou;Персоналии;1
P. W. Improvement;Персоналии;1
De Angelis;Персоналии;1
Hyperledger Fabric;Персоналии;1
Blockchain Consensus;Персоналии;1
Blockchain Trustworthy Syst;Персоналии;1
Knowledge Discovery;Персоналии;1
Wireless Communicat;Персоналии;1
